"date","Tmort","Rmort","Cmort","Temp","Rhumid","CO","SO2","NO2","HC","Ozone","Part"
"1974-09-27",155,9,79,72.2,66.2,6.67,2,7.33,35,7,68.2
"1974-09-28",147,3,80,75.4,70,7,2.33,9.5,48.33,12.83,37.4
"1974-09-29",148,6,82,79.8,71.4,6.33,3,10.67,45,15.17,33.25
"1974-09-30",171,5,86,83.2,65,9.5,2.83,18.67,70,15.67,54.75
"1974-10-01",158,7,92,76.6,69.2,5.5,4.33,10.17,35,8.83,32
"1974-10-02",172,8,88,76.2,63.2,4.17,1.83,6.33,35,5.67,21.67
"1974-10-03",167,7,89,74,66,7.33,2.83,8,40,5.67,33
"1974-10-04",168,13,88,69,70.8,5.5,1.5,6.83,35,3.33,24.33
"1974-10-05",138,9,71,73.2,64.2,5,1.67,6.17,40,7,24.67
"1974-10-06",178,5,92,75.8,61.2,5,1.83,6.83,33.33,10.83,29
"1974-10-07",165,4,90,68,80.2,8.67,1.83,11.5,46.67,2.67,41
"1974-10-08",180,6,94,69.2,72.8,6.17,1.83,7,36.67,3.33,31
"1974-10-09",139,5,65,73.2,59.6,8.67,1.83,7.17,43.33,8.33,38.67
"1974-10-10",172,6,89,72.4,68,9.83,2.5,10.83,48.33,9.83,47.67
"1974-10-11",178,9,92,72.4,73.4,9,3,12.5,46.67,10.33,45
"1974-10-12",175,4,107,80.8,62.8,8.17,2.5,11.67,45,7.5,46
"1974-10-13",140,10,77,79.4,70.4,6.33,3.17,10.67,48.33,10.17,95
"1974-10-14",170,6,94,83,60,11.17,3.67,23.33,68.33,11.5,63.67
"1974-10-15",174,10,99,94.8,35,18.83,4,27.67,65,7.33,72
"1974-10-16",184,5,109,97.8,20,15,2.33,16.83,53.33,8.17,64.33
"1974-10-17",166,10,93,91,34.4,18.33,4.67,21.5,68.33,13.5,72
"1974-10-18",179,10,89,83,54.4,14.83,4.83,28,80,13.67,65.67
"1974-10-19",142,5,72,74.2,69,8.33,3.17,17.67,71.67,11.67,50.33
"1974-10-20",180,7,100,71,76.6,6.5,3.67,10.67,46.67,11,38
"1974-10-21",149,5,84,67.8,70.8,6.5,2.67,9.33,33.33,6.17,34
"1974-10-22",166,6,91,69.8,69,6.67,3.17,10.17,41.67,6,41.5
"1974-10-23",172,7,88,66.4,70.6,6,2.83,8.67,35,2,26.5
"1974-10-24",161,5,91,75.2,62,11.67,2.67,11.83,55,7,50
"1974-10-25",196,10,107,73.8,64.4,13,2,12.83,56.67,5.67,52
"1974-10-26",167,2,97,66.8,69.6,5.5,1.67,6,38.33,1.83,32
"1974-10-27",162,14,84,67.8,71.4,5.5,1.5,6.17,45,3,37
"1974-10-28",138,3,84,65.8,75.6,4.67,1.33,5.5,33.33,2.33,18
"1974-10-29",172,8,98,64.4,60.8,7.33,1.5,8.17,41.67,3,47
"1974-10-30",178,4,99,66.2,62.6,12.33,2.67,12.67,53.33,3.83,66
"1974-10-31",154,7,83,62,76.6,11.83,2.33,11.67,58.33,1.83,65
"1974-11-01",160,10,83,64.4,66,6.83,1.83,5.5,43.33,2.83,35
"1974-11-02",161,6,82,64.6,65.2,8,2.5,6.67,38.33,3.67,53
"1974-11-03",183,9,101,66.8,65.8,9.67,2.67,9.67,52.5,5,55
"1974-11-04",178,7,102,70.4,58,11.17,2.67,15,46.67,5.83,57
"1974-11-05",134,3,75,72.2,48.8,12,3.17,17,50,6.17,61
"1974-11-06",175,7,87,78,30.8,14.5,2.67,11.33,48.33,5,68
"1974-11-07",168,5,75,80.4,27.2,13.5,2.33,12.5,51.67,5.83,70
"1974-11-08",128,4,71,72.6,51,12.17,2.67,12.17,58.33,5.33,58
"1974-11-09",187,11,89,77.8,35.2,10.33,2.33,10.33,45,5.83,54
"1974-11-10",168,8,100,82.2,31.2,12,3.33,17.67,61.67,7.83,71
"1974-11-11",163,5,98,90,23,14.33,2.67,9.33,48.33,4.67,80
"1974-11-12",164,6,96,92,22.4,16.17,2.83,13.5,48.33,5.67,58
"1974-11-13",152,5,82,85.8,31,18.5,3,20.17,63.33,6.83,72
"1974-11-14",188,16,104,74.4,59.4,20.17,4.67,31,83.33,7.83,90
"1974-11-15",170,12,97,67.8,75,12.17,4.33,18.83,58.33,6.83,60
"1974-11-16",190,3,92,64.2,77.8,8,3.67,15,46.67,6.83,60
"1974-11-17",153,5,87,67.8,69.6,8.17,2.67,11.33,48.33,9.5,63
"1974-11-18",164,9,98,65,75.6,10.83,3.17,14.17,55,5.67,56.74
"1974-11-19",161,7,81,70,68.8,14.5,3.33,15.5,68.33,8.17,57.28
"1974-11-20",183,7,108,77,63.4,14.33,3.83,22.83,68.33,7.83,62.15
"1974-11-21",178,9,81,64.2,74.2,5.83,2.67,8.17,45,2.17,60.46
"1974-11-22",158,6,76,67.2,50.6,8.17,2,6,41.67,2.67,59.91
"1974-11-23",169,3,89,77.4,33.4,11.33,3.17,10.83,50,5.67,64.92
"1974-11-24",156,5,84,83.8,16.8,9.33,2.67,8.17,40,3.83,75.2
"1974-11-25",163,8,87,75.4,31.6,18.67,7.83,19.17,68.33,4.17,64.23
"1974-11-26",161,5,86,80.2,39.6,19.83,5.5,26.17,66.67,4.33,58.61
"1974-11-27",166,4,88,69,57.4,19.5,7.83,27.83,86.67,5.17,59.52
"1974-11-28",182,6,92,67.2,64.8,13.5,4.67,12.17,60,6.5,54.1
"1974-11-29",190,7,108,74,37,16.33,3.33,14,66.67,3.33,60.9
"1974-11-30",196,8,110,67.6,38.8,15.17,2.67,11.67,70,1.83,69.15
"1974-12-01",184,12,98,68,51,12.17,3.33,14.17,63.33,4.17,64.86
"1974-12-02",157,6,89,64.4,66,11.67,3.5,13.5,58.33,2.17,62.94
"1974-12-03",168,5,99,62.2,75.4,9.67,2.17,8.67,45,1.5,64.24
"1974-12-04",181,9,104,60,89.8,7.67,1.83,5,33.33,1.33,65.39
"1974-12-05",162,10,79,64.8,72.8,11.83,2,10.5,48.33,2.17,76.28
"1974-12-06",185,10,95,69.2,61.2,18.17,2.67,16.17,61.67,4.5,71.9
"1974-12-07",152,4,88,72,47.4,16,6,20.67,66.67,4,69.32
"1974-12-08",187,6,90,70.8,26,11,3.17,16,40,2.67,69.5
"1974-12-09",178,8,100,69.4,36.6,15.17,3.17,10,61.67,2,64.98
"1974-12-10",152,6,77,65.4,52.6,16.67,3.67,16.67,53.33,2.5,64.37
"1974-12-11",157,7,101,64.6,58.4,15.17,4.17,19.83,66.67,6,62.81
"1974-12-12",183,5,97,66,62,16.33,4.67,23,68.33,8.17,69.83
"1974-12-13",168,10,93,69.8,51.2,10.67,3.5,14,43.33,3.83,44
"1974-12-14",178,5,88,72,33.8,6.17,2.17,7.17,38.33,3.33,30
"1974-12-15",199,10,100,72.4,44,14,3.17,12.67,66.67,4.17,67
"1974-12-16",164,8,94,79.6,42,20.33,4.67,18.33,66.67,3.83,65.67
"1974-12-17",173,12,98,72.4,52.6,21.67,4.5,25.67,75,3.5,76
"1974-12-18",160,6,85,73.6,35.6,18,2.83,14.17,58.33,4.17,70.83
"1974-12-19",185,4,102,68.8,51,20,4,21,73.33,4.33,84.33
"1974-12-20",190,7,104,70.8,51.4,21.5,5.5,32,75,4.33,90.83
"1974-12-21",202,14,93,68.6,62,21.17,4.5,27.67,95,6.33,88.67
"1974-12-22",182,7,109,60.4,55.6,13.5,3.5,14.83,61.67,4.17,62.33
"1974-12-23",182,7,95,55.6,18,6.67,2.5,5.83,35,1.83,41.17
"1974-12-24",163,8,90,57,22.4,8.83,2.17,8.5,43.33,1.5,54.67
"1974-12-25",216,7,130,59.4,32,10.67,2.83,8,51.67,2.5,68.83
"1974-12-26",187,8,113,59.8,48.8,12.33,2.67,9.83,55,2,77.5
"1974-12-27",191,9,98,60,51.6,10.5,2.67,10.33,45,2.33,61.17
"1974-12-28",181,10,99,53,79,3.33,1.5,4.67,25,2,19.67
"1974-12-29",204,9,103,60,53.4,6.33,1.33,4.83,33.33,2.5,35.67
"1974-12-30",203,6,125,56.4,54.4,9.5,2.83,7.17,45,2,57.17
"1974-12-31",198,11,108,56,26.4,5,2,3.5,28.33,2.5,31.5
"1975-01-01",222,10,122,63.8,28.4,9.33,2.83,7.33,53.33,2.5,57.33
"1975-01-02",182,8,113,60.4,43.2,13.17,2.17,8.5,50,1.67,83
"1975-01-03",167,11,82,62.8,36.4,14,2.5,9.67,58.33,1.83,65
"1975-01-04",188,10,105,63.4,47.2,14,3.5,12.33,55,2.5,66.17
"1975-01-05",184,12,104,70.8,43,11.5,3.17,8.83,46.67,2.5,56.5
"1975-01-06",209,14,124,64,61.2,17.17,4.83,16.17,63.33,2.83,76.33
"1975-01-07",187,12,105,62.8,76.2,9.33,2.5,10,50,2.17,47.5
"1975-01-08",198,13,104,57.4,87,9.33,2.67,7.17,45,1.33,49.17
"1975-01-09",204,15,100,59,38,4.67,1.33,4.83,31.67,2.5,25.83
"1975-01-10",170,5,103,60.8,55.4,9.17,3.67,10,35,2.17,47.33
"1975-01-11",202,17,102,68.6,53,10.5,2.83,8.33,46.67,3,49.83
"1975-01-12",187,13,110,71.6,35.6,11.33,2.67,8.17,46.67,4,47.83
"1975-01-13",226,18,125,82,27.2,17,2.5,10,53.33,3.33,61
"1975-01-14",198,17,111,85.8,25.8,19.33,4.17,12.67,71.67,4.67,71.5
"1975-01-15",199,9,112,80.6,32.2,21.33,5,26,78.33,6.33,80.33
"1975-01-16",210,16,117,70.4,57.2,21.67,7.33,31.17,83.33,8,91.17
"1975-01-17",196,10,113,81.4,39.4,21.5,5.17,23.5,75,7.67,83.5
"1975-01-18",220,15,112,81.6,26.8,15.17,3.67,18.33,58.33,6.83,58.67
"1975-01-19",185,11,100,84.8,34.4,14.83,3.83,19.17,61.67,9.33,54.83
"1975-01-20",213,22,116,75.8,39.2,16.83,4.33,18.5,65,6.67,68.33
"1975-01-21",207,21,104,67,65,18.33,4.33,24.17,88.33,5.83,82.5
"1975-01-22",212,18,124,73.8,37.2,18,4.33,16.83,73.33,4.67,79
"1975-01-23",170,19,93,72.4,27,14.17,2.67,12.33,61.67,3.83,67
"1975-01-24",221,13,120,73.4,39,21.83,5.5,25.17,83.33,7.17,88.17
"1975-01-25",196,14,103,75,53.2,20,5.67,25.83,90,10.5,79.5
"1975-01-26",171,12,99,64.6,73.4,11.33,8.17,16.17,73.33,8,57.67
"1975-01-27",199,16,107,57.8,68.6,5,2.17,5.5,31.67,2.33,37.17
"1975-01-28",192,18,104,57,38.6,9.33,1.83,8.83,41.67,3.17,75.83
"1975-01-29",201,20,111,56.6,51,9.67,2.33,10.5,45,3,62.5
"1975-01-30",179,15,103,49.4,73.4,9.17,1.5,7.5,41.67,1.17,51.17
"1975-01-31",193,19,108,54,70.4,10.33,1.67,5.83,40,2.17,55.83
"1975-02-01",211,10,117,58.6,66.6,9.83,2.17,5.33,45,2,51.33
"1975-02-02",227,21,114,60.8,66.4,9.67,2.17,6.33,41.67,2.33,49.33
"1975-02-03",222,22,123,56.4,84.2,8.5,1.83,5,30,1.5,35.67
"1975-02-04",223,14,125,58,89,7.33,1.83,4.67,30,1.33,28.33
"1975-02-05",200,30,103,61.6,81.2,9.67,2.33,5.83,46.67,2.17,50.5
"1975-02-06",202,17,114,70.4,66,11.17,3.67,8.17,46.67,3.67,51.17
"1975-02-07",194,22,95,65.4,76.6,13,5.17,14.67,58.33,2.83,58.83
"1975-02-08",211,14,116,62,80.8,9.33,3.33,9.83,50,2.83,37.83
"1975-02-09",214,20,119,57.2,96.2,6.33,1.67,5,35,1.5,30.33
"1975-02-10",180,20,93,61.8,83.8,7.5,2,5.17,43.33,2.5,36
"1975-02-11",190,17,90,65.6,73.8,11.5,3,8,56.67,4.33,56.5
"1975-02-12",194,15,120,67.8,72,12.67,4,14.33,61.67,5.5,60.67
"1975-02-13",176,17,92,61.2,84.6,11.5,4.67,14.17,66.67,3.17,53.33
"1975-02-14",217,17,99,63,72.8,6.83,2.33,5.5,35,2.83,33.67
"1975-02-15",176,14,98,64.2,40.6,7.67,1.83,5.33,38.33,3.5,39.67
"1975-02-16",159,16,80,58.4,61.6,7.5,1.5,5.33,41.67,3.67,36.5
"1975-02-17",187,11,109,62.6,32.2,5.67,2.33,6,31.67,4,33.5
"1975-02-18",163,12,85,66,41.2,11.17,3,10,48.33,4.33,53.17
"1975-02-19",174,11,82,65.6,50,11.33,3.33,13.5,53.33,4.33,62
"1975-02-20",182,9,99,63.4,69.4,8.67,2.5,8.67,58.33,4.5,49.5
"1975-02-21",168,14,89,63.2,31.6,6.67,2,5.67,35,3.17,36.67
"1975-02-22",184,13,105,64.4,25.4,7.83,1.5,7,40,3.33,44.17
"1975-02-23",182,9,100,68.4,43.4,9.5,4.33,9.67,56.67,4,59.17
"1975-02-24",195,14,118,77.4,37.6,13.5,3.17,14.17,65,5.67,60.67
"1975-02-25",188,14,96,70.2,61.6,16.5,3.83,14.67,70,9,74.67
"1975-02-26",185,13,107,67.2,73.8,10.17,4.67,16.5,66.67,9.67,61.33
"1975-02-27",160,9,88,68.6,73.2,17.83,8.83,22.17,90,10.17,85.5
"1975-02-28",146,13,70,71.2,72,16.17,7.67,22.5,83.33,13,84.17
"1975-03-01",169,7,93,67.4,76.8,10,5.33,15.67,66.67,13.67,53
"1975-03-02",140,4,78,65.8,74.8,7.83,3.17,8.33,40,10.17,35
"1975-03-03",170,10,82,73.4,69.4,15.17,5.17,18.17,66.67,10,70.17
"1975-03-04",160,8,90,63.4,80.6,8.17,5,12.33,61.67,6,55.83
"1975-03-05",174,11,97,59.2,86.6,8,2.83,8.5,40,2.83,37.83
"1975-03-06",162,10,84,65,79.2,4.83,1.83,4.83,26.67,3.5,23
"1975-03-07",174,9,83,64.2,79,4.83,1.5,4.17,26.67,2.83,39.5
"1975-03-08",161,8,85,58.4,90.6,6.67,1.33,4.5,33.33,2.33,27.67
"1975-03-09",186,11,89,60,77.4,5.33,1.67,3.5,38.33,3.5,22.67
"1975-03-10",160,11,88,52,84.8,7.17,1.83,5.17,41.67,1.83,33
"1975-03-11",179,8,102,57.4,77,8.5,2,6.83,51.67,2.67,37.17
"1975-03-12",164,15,88,60.2,73.8,9.67,1.83,7.17,43.33,4.33,42.67
"1975-03-13",166,11,89,57.2,79.2,7.33,1.5,5.67,41.67,2.67,33.17
"1975-03-14",178,10,100,58.8,58.4,7.5,1.83,5.5,36.67,3.33,32.83
"1975-03-15",175,5,90,61.2,67.2,5.5,1.83,6,40,5.67,28.83
"1975-03-16",178,8,95,59,70.6,2.83,1.5,4.17,25,3.17,13.17
"1975-03-17",163,5,90,65.4,43.2,10,2,8.67,45,5.5,42.5
"1975-03-18",149,6,77,70.6,54.8,12.33,4.17,13.5,51.67,10.67,68.5
"1975-03-19",161,8,79,71,66.2,12.83,5.33,15.17,56.67,12.5,66
"1975-03-20",152,10,78,63.4,82.8,8.67,3.33,10.83,48.33,4.33,50.5
"1975-03-21",162,9,87,61.4,73.6,6.17,1.5,5.33,35,4.33,33.83
"1975-03-22",171,8,90,60.8,70,2.33,1,3.5,25,3.33,14.83
"1975-03-23",175,5,93,67,53.6,5.17,1.5,5.33,35,6.17,25.83
"1975-03-24",160,9,87,69,63.8,9,4.17,10.83,48.33,8.5,48.33
"1975-03-25",167,10,96,61.6,77.8,3.83,1.83,4.5,35,3,23
"1975-03-26",170,9,85,60.8,27.8,2.67,1.83,4.67,35,3.83,19.5
"1975-03-27",155,9,95,61.6,44,5.5,2,7,36.67,3.83,34.5
"1975-03-28",172,7,87,61.2,18.8,5.17,2.17,4.17,30,3.67,26.17
"1975-03-29",160,6,80,65.6,26,6.83,2.33,6,33.33,4.5,31
"1975-03-30",184,10,86,72.4,38.6,7.17,2.17,7.33,53.33,5.67,31.5
"1975-03-31",154,6,89,57.2,83.8,4.67,1.67,5.5,31.67,2.33,27.67
"1975-04-01",146,9,80,62.4,63.2,8.5,1.83,6.33,33.33,3.33,44.17
"1975-04-02",163,8,75,70.4,44.2,9.33,2.17,8.33,38.33,8.33,41.17
"1975-04-03",186,9,94,67.6,51,10,3.33,11.83,50,6.67,52.33
"1975-04-04",182,11,102,60.8,66.2,5.67,2,5.83,35,2.67,29.33
"1975-04-05",176,10,83,56.2,85.8,5.17,1.33,4.5,33.33,2.17,25.5
"1975-04-06",167,8,87,52,80,5,1.17,4.17,41.67,3,26.5
"1975-04-07",159,8,87,57.2,66,7.83,1.67,6.33,31.67,3.5,41.67
"1975-04-08",155,8,84,52.2,88.2,5.33,1.83,4.17,33.33,1.83,29.83
"1975-04-09",176,8,89,65,65,5.67,1.5,5.67,35,3.5,36.83
"1975-04-10",173,9,95,62.2,73.8,5,1.5,5.33,36.67,3.67,27.33
"1975-04-11",153,10,85,60.6,65.6,5.67,2,6.67,40,3.67,32.5
"1975-04-12",164,8,96,65.8,72.2,5.17,2,7.5,51.67,6.83,24
"1975-04-13",139,8,72,63.8,75.6,3.83,2,6,35,6,19.17
"1975-04-14",189,6,119,59.4,73.2,3.5,1.67,4.83,33.33,4.5,18.67
"1975-04-15",153,7,83,59.6,74.2,4.17,1.67,4.67,38.33,3.17,19.67
"1975-04-16",165,4,89,59.6,63,4.17,1.67,5.67,33.33,3.33,21.83
"1975-04-17",187,12,108,61.2,61.8,5,1.67,5,41.67,3.17,30.33
"1975-04-18",151,5,85,64.6,65.2,7,2.17,7.67,40,5.17,34.17
"1975-04-19",161,7,82,67.2,61.2,6.83,3.83,7.67,45,8,35.17
"1975-04-20",172,7,92,73.6,60.4,7,4.83,7.17,45,10.33,31.17
"1975-04-21",179,5,109,63.4,77.8,5.17,3,5.83,41.67,5,29.33
"1975-04-22",159,8,99,61.4,70,5,1.83,5.83,35,3.67,24
"1975-04-23",166,6,100,64.6,67.6,5.5,2,7,52.5,5.17,33.67
"1975-04-24",143,4,72,64.6,74.2,5.5,2.33,7.33,41.67,5,30.33
"1975-04-25",140,5,69,65,60.2,3,1.5,4.67,28.33,3.5,23.5
"1975-04-26",140,5,75,65.8,41.4,3.5,1.5,4.17,35,3.5,15.33
"1975-04-27",164,8,72,67.4,58.6,3.67,2,7.83,38.33,6.83,20.67
"1975-04-28",154,5,79,70.6,61.4,7,3.33,10.83,46.67,8.5,37.83
"1975-04-29",151,7,81,74.6,60,6.5,2.5,13.33,60,10.17,48.5
"1975-04-30",167,13,87,70.6,73.2,5,2.67,8.67,53.33,8.17,31.67
"1975-05-01",150,9,79,68,64.8,3.5,1.83,7.17,33.33,7.83,36.33
"1975-05-02",158,5,93,72.6,69,7.67,3.33,10.83,46.67,9.67,42.67
"1975-05-03",150,2,80,69.6,77.6,4.67,3,8.67,43.33,9.83,30.5
"1975-05-04",142,5,67,65.8,51.6,2.67,1.5,4,26.67,4.33,15.33
"1975-05-05",164,10,74,68.2,41.2,4.5,2,5.67,33.33,4.33,23
"1975-05-06",164,9,84,68.6,50.2,7,2.83,8.17,45,6.33,48.17
"1975-05-07",152,6,81,73,52.2,7.5,3.17,10.5,53.33,8.17,44.17
"1975-05-08",136,6,58,71.4,65.6,6,3.67,9.67,51.67,7.17,52.33
"1975-05-09",156,6,73,76.4,61.2,5.83,3.17,9.83,43.33,10.17,32.17
"1975-05-10",175,7,84,75.4,61,5.83,2.83,9.67,75,10.83,34
"1975-05-11",179,8,88,76.6,62.6,6.33,3.17,10.17,60,12.83,28.33
"1975-05-12",177,7,98,77.8,68.6,7,3.33,11.33,56.67,13.83,41.83
"1975-05-13",123,5,71,75.2,74.6,5.17,2.83,8.33,33.33,10.33,37.33
"1975-05-14",130,1,60,71.2,76.2,4.33,2,6.5,33.33,8.67,29.5
"1975-05-15",155,7,78,66.6,78.8,4.5,2,6.83,31.67,7.5,39.67
"1975-05-16",154,7,79,64.6,76.2,4,2,6.5,31.67,4,28.33
"1975-05-17",154,6,73,75,67.4,4,2.5,6.33,33.33,11.67,23.17
"1975-05-18",163,3,97,71,72.8,2.83,1.83,4.67,33.33,6.33,16
"1975-05-19",163,11,78,64,83.2,3.5,1.67,5.33,26.67,5.5,23
"1975-05-20",159,2,92,62,61.8,5.17,2.83,5,36.67,3.5,24
"1975-05-21",157,14,80,68.4,61.6,5.67,1.67,7,36.67,6,24.33
"1975-05-22",160,12,80,69,67.8,5.67,2.83,8.67,43.33,7.67,35.83
"1975-05-23",137,7,74,74.8,65.4,6.67,2.67,9.17,45,10,36.5
"1975-05-24",162,9,75,75.2,67.2,5.5,3,9.83,56.67,11.5,27.5
"1975-05-25",200,4,119,73.8,68.2,3.33,2.33,6.67,31.67,11.17,19.83
"1975-05-26",170,10,90,75.4,71,2.33,2.17,5,25,12,24.33
"1975-05-27",151,8,84,67.4,81.2,4.5,2,7.33,32.5,7.67,27.33
"1975-05-28",135,10,73,75.8,67.8,4.33,2.67,7,30,10.33,28
"1975-05-29",158,2,86,78.2,67.8,4.67,2.67,7.83,36.67,12,33.83
"1975-05-30",163,9,86,78.6,68.8,5.67,3.5,10.67,33.33,15.5,42.83
"1975-05-31",133,8,66,74.6,76.4,4,2.83,7,31.67,13.17,27.67
"1975-06-01",162,8,83,74.2,73.8,3,2.5,5,28.33,11.67,18.67
"1975-06-02",146,9,87,73.8,71.6,4.33,2.5,7.83,33.33,10.83,37
"1975-06-03",147,5,79,69,74.8,4.83,2.67,7,31.67,6.17,30.5
"1975-06-04",184,5,106,70.8,72.6,4.5,1.83,7.17,36.67,6.5,25.33
"1975-06-05",139,7,60,73.8,74.6,4.5,2.17,7.17,35,9.83,28
"1975-06-06",164,5,97,74.6,74.6,5.17,2.17,9,33.33,12.33,44
"1975-06-07",145,5,67,71.2,76,4.83,2.67,6.67,35,9.67,25.17
"1975-06-08",157,7,67,72.4,72,3.33,2,5.83,25,9.17,15.17
"1975-06-09",147,8,74,76.2,71.6,4.33,2.17,7.17,30,12.33,28.33
"1975-06-10",140,5,68,76.6,69.6,5.17,3,9.83,35,14.67,37.83
"1975-06-11",151,5,77,81,66.2,5.67,2.5,10,33.33,18,37.67
"1975-06-12",144,5,75,74.6,74.2,4.33,2.67,7.67,36.67,12.83,34.67
"1975-06-13",125,3,75,74.8,73.8,5,2.67,8.33,31.67,13.83,34
"1975-06-14",154,4,75,73.4,75,3.83,1.83,5.5,30,12.5,25
"1975-06-15",153,5,76,74,73.2,2.67,1.83,5.67,26.67,11.17,18.5
"1975-06-16",149,5,77,67.4,82.4,3.83,1.5,6,30,6.67,28.83
"1975-06-17",147,9,65,67.6,74.2,3.33,1.5,4.67,26.67,4.83,24.83
"1975-06-18",147,9,79,67.2,64.2,3.5,1.83,4.5,55,3.17,17.33
"1975-06-19",163,7,84,67,66.8,4.67,1.67,4.33,31.67,3.5,21.33
"1975-06-20",147,5,74,71.8,61.8,6.33,1.67,6.5,38.33,6.17,29.17
"1975-06-21",165,5,79,76.6,62.6,5.5,3.17,7.33,43.33,9.5,27
"1975-06-22",154,3,77,78,70.6,3.83,2.33,6.5,36.67,15.67,21.5
"1975-06-23",161,8,81,73.8,71.8,4.5,2.17,8,30,10.17,29.83
"1975-06-24",151,3,79,72,71.2,3.83,1.83,6,33.33,8.33,24.17
"1975-06-25",150,4,86,80.6,47.6,7,2.33,9.33,40,10.17,35.83
"1975-06-26",164,7,82,85.4,41.8,10,4.5,16,65,16.33,56.67
"1975-06-27",166,8,87,81.2,56.2,6.67,3.17,11.67,51.67,12.33,46.5
"1975-06-28",161,5,83,78.8,60.4,4.67,2,8.83,45,11.17,25.67
"1975-06-29",157,6,73,79.6,63.2,3.83,3.33,7.5,33.33,13,24.17
"1975-06-30",167,6,95,82,59.6,6.67,3.83,10.83,38.33,11.33,38.33
"1975-07-01",160,6,81,83.4,49.8,7.67,3,12.67,53.33,13.5,42.83
"1975-07-02",167,3,89,81.6,54.6,6.17,2.33,11.17,45,11.67,36.67
"1975-07-03",153,5,84,78,62.8,5,2.33,9.67,41.67,11.17,32.33
"1975-07-04",157,5,74,80.2,63.6,4.5,2,8.33,38.33,15.83,27.33
"1975-07-05",154,3,81,85.6,50.2,5.83,2.33,10.67,48.33,14.17,34.33
"1975-07-06",158,2,84,86.6,49.4,4.83,2.17,8.67,56.67,13.83,26.83
"1975-07-07",176,11,94,85.4,59.4,5,2.67,11.17,48.33,16,36.5
"1975-07-08",141,6,68,80.4,70,6.5,4,12,35,12.33,43.17
"1975-07-09",151,5,73,89,59.6,6,4,13.17,40,21.5,45
"1975-07-10",149,9,75,89.4,54.2,6.33,3.67,14.17,51.67,16.5,45.33
"1975-07-11",154,17,64,91.6,48,5.83,5.67,15.17,53.33,19,51.83
"1975-07-12",154,2,89,80.8,67,3.5,2.17,7.33,40,10.5,25.17
"1975-07-13",153,7,84,79,68,2.33,1.33,5.83,26.67,8.33,15.83
"1975-07-14",166,10,77,79.8,66,3.17,1.83,6.33,25,11,25.67
"1975-07-15",137,8,70,80.6,65,3.67,1.83,7.83,30,14.5,28.67
"1975-07-16",154,10,75,79.8,65,4,2.17,10,36.67,14.67,33
"1975-07-17",131,5,66,78,70.8,3,1.83,5.67,25,7.33,26.83
"1975-07-18",138,10,69,77.4,73.8,3,2.17,6.5,28.33,6.5,28.67
"1975-07-19",162,9,83,80.2,70,3.33,2.33,6.17,25,12.5,22.67
"1975-07-20",138,4,72,81.2,69.6,3.33,2.83,6.17,35,16.17,19.83
"1975-07-21",172,4,91,82.6,69.2,4.33,3.33,9.5,36.67,16.67,34.5
"1975-07-22",137,6,74,84.6,69.4,4.33,2.83,10.5,40,19.83,37.67
"1975-07-23",154,5,77,82,66.6,4.67,3,11.5,35,17.17,42.5
"1975-07-24",154,6,78,86.8,65.8,4.67,2.5,10.67,41.67,15.17,39
"1975-07-25",155,11,77,84.2,65.8,5.33,4,11,43.33,17.67,41.33
"1975-07-26",169,4,76,82.6,68.2,4,3.83,8.5,33.33,15.83,32.17
"1975-07-27",162,5,88,84.2,63.2,3.67,3,7.67,40,9.5,24.67
"1975-07-28",164,6,72,83.6,66.6,3.83,2.67,7.83,30,10.17,29
"1975-07-29",143,4,76,79.8,66.6,4,1.83,6.67,26.67,7.5,26.33
"1975-07-30",168,7,84,80.4,63.4,3.5,1.67,6.5,26.67,7.67,37.17
"1975-07-31",147,7,76,82,65.2,4.17,3,9.33,31.67,11.33,31.33
"1975-08-01",149,5,77,81.8,66.8,4.83,2.83,11.67,41.67,12.67,36.5
"1975-08-02",150,11,65,85,64,4.67,3.5,10.5,48.33,18.5,39.17
"1975-08-03",141,5,81,85.2,61.8,3.83,2.33,8.67,43.33,15.5,25.83
"1975-08-04",151,6,76,87.2,58,5.83,4.83,14.67,41.67,16.17,38.17
"1975-08-05",182,8,97,86.2,55.8,6.83,3.67,16,46.67,12,46.5
"1975-08-06",138,4,68,88.8,50.6,7.67,5,16.17,50,17.17,49.33
"1975-08-07",174,9,74,90.8,46.6,9.67,5.17,21.83,60,19.33,63.17
"1975-08-08",173,9,93,85.8,62.8,7.17,3.5,15.5,55,12.17,47.17
"1975-08-09",133,7,68,83,67.8,4.33,3,9.17,46.67,9.17,26.5
"1975-08-10",164,1,84,83.4,69.8,3.5,4.83,8.33,36.67,13.67,21.33
"1975-08-11",153,6,78,81,71.4,4.17,3.33,9,36.67,13.33,33.5
"1975-08-12",139,8,68,80,66,3.67,3.33,8,28.33,11.5,32.5
"1975-08-13",156,6,79,79,65.6,3.5,2.67,9.17,31.67,11.33,30
"1975-08-14",151,4,76,80,65.8,3.5,2.17,8.83,33.33,12.17,28.5
"1975-08-15",175,6,77,78.4,66.8,4,2.33,8,31.67,10.5,28.5
"1975-08-16",147,6,71,80.6,62.4,3.17,2.5,7.83,28.33,10.33,24.33
"1975-08-17",142,7,71,77.4,66.6,2.67,2.67,6.33,31.67,9,17.83
"1975-08-18",146,6,82,77.6,67.2,4,3.17,8.17,38.33,9.33,31
